2021-05-26 19:03:22,932 | training.trainingstatistics | INFO | Saved statistics to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.statistics.json
2021-05-26 19:03:22,934 | training.trainingconfig | INFO | Saved config to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.config.json
2021-05-26 19:03:43,781 | models | INFO | Saved model to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.json
2021-05-26 19:03:43,826 | models | INFO | Saved weights to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.weights-285-203.45145670572916.h5
2021-05-26 19:03:43,829 | training.trainingstatistics | INFO | Saved statistics to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.statistics.json
2021-05-26 19:03:43,831 | training.trainingconfig | INFO | Saved config to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.config.json
2021-05-26 19:04:05,929 | models | INFO | Saved model to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.json
2021-05-26 19:04:05,944 | models | INFO | Saved weights to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.weights-286-243.7642822265625.h5
2021-05-26 19:04:05,947 | training.trainingstatistics | INFO | Saved statistics to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.statistics.json
2021-05-26 19:04:05,948 | training.trainingconfig | INFO | Saved config to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.config.json
2021-05-26 19:04:26,050 | models | INFO | Saved model to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.json
2021-05-26 19:04:26,068 | models | INFO | Saved weights to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.weights-287-264.3756408691406.h5
2021-05-26 19:04:26,071 | training.trainingstatistics | INFO | Saved statistics to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.statistics.json
2021-05-26 19:04:26,072 | training.trainingconfig | INFO | Saved config to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.config.json
2021-05-26 19:04:47,779 | models | INFO | Saved model to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.json
2021-05-26 19:04:47,794 | models | INFO | Saved weights to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.weights-288-264.8622182210286.h5
2021-05-26 19:04:47,797 | training.trainingstatistics | INFO | Saved statistics to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.statistics.json
2021-05-26 19:04:47,799 | training.trainingconfig | INFO | Saved config to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.config.json
2021-05-26 19:05:08,946 | models | INFO | Saved model to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.json
2021-05-26 19:05:08,961 | models | INFO | Saved weights to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.weights-289-315.9917856852214.h5
2021-05-26 19:05:08,964 | training.trainingstatistics | INFO | Saved statistics to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.statistics.json
2021-05-26 19:05:08,966 | training.trainingconfig | INFO | Saved config to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.config.json
2021-05-26 19:05:29,732 | models | INFO | Saved model to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.json
2021-05-26 19:05:29,747 | models | INFO | Saved weights to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.weights-290-184.8829549153646.h5
2021-05-26 19:05:29,750 | training.trainingstatistics | INFO | Saved statistics to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.statistics.json
2021-05-26 19:05:29,751 | training.trainingconfig | INFO | Saved config to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.config.json
2021-05-26 19:05:50,509 | models | INFO | Saved model to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.json
2021-05-26 19:05:50,524 | models | INFO | Saved weights to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.weights-291-237.99095153808594.h5
2021-05-26 19:05:50,526 | training.trainingstatistics | INFO | Saved statistics to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.statistics.json
2021-05-26 19:05:50,528 | training.trainingconfig | INFO | Saved config to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.config.json
